sample_id,audit_run_code,stratum,subject_kind,subject_id,subject_label,predicate,object_kind,object_id,object_label,plausibility_score,supporting_job_count,support_percentile,jaccard,path_closure,label,evidence_checked,annotator,note
layer_c_0001,validation_fixed,low,cluster,JC-7df7279bbb91daa7,机器人全身运动控制工程师,cluster_needs_tech,technology,T1.03.01,全身控制(WBC),0.0335,1,0.0,0.111,0.0,,false,,
layer_c_0002,validation_fixed,low,cluster,JC-6f4db05f5d007a91,研发测试负责人 (mj000566),cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.0012,1,0.0,0.004,0.0,,false,,
layer_c_0003,validation_fixed,low,organization,org_c62691e2c5810302866791f3,1X Technologies,org_has_tech,technology,T4.04.12,Sim-to-Real虚实迁移,0.0067,1,0.0,0.022,0.0,,false,,
layer_c_0004,validation_fixed,low,cluster,JC-fef6957467a91059,高级电气工程师,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0005,validation_fixed,low,cluster,JC-4ecc7bdb68493db4,ai算法工程师,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0006,validation_fixed,low,cluster,JC-f2e7aff43de9ff90,测试开发工程师-bsp方向,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0007,validation_fixed,low,organization,org_9ad0a3c06039a41416d81872,五八智能科技（杭州）有限公司,org_has_tech,technology,T6.01.03,人机共融,0.0042,1,0.0,0.014,0.0,,false,,
layer_c_0008,validation_fixed,low,cluster,JC-e3f177b63b621405,机器人slam算法一号位/专家/工程师(base上海深圳北京),cluster_needs_tech,technology,T1.04.01,SLAM,0.0035,1,0.0,0.011,0.0,,false,,
layer_c_0009,validation_fixed,low,cluster,JC-f2945c4b0fb664ed,机器人硬件测试,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0010,validation_fixed,low,cluster,JC-611577b63bc2dfd5,agent应用负责人,cluster_needs_tech,technology,T5.01.02,机器人操作系统,0.0058,1,0.0,0.019,0.0,,false,,
layer_c_0011,validation_fixed,low,cluster,JC-9d78fcb7e98ff5d0,机器人算法应用工程师,cluster_needs_tech,technology,T1.03.05,双足行走与步态,0.1502,1,0.0,0.5,0.0,,false,,
layer_c_0012,validation_fixed,low,cluster,JC-93410fdbda74e7da,端到端算法工程师,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0013,validation_fixed,low,cluster,JC-c2eb1ed7f1555d8b,具身智能研发总监,cluster_needs_tech,technology,T3.05.01,一体化关节模组,0.0042,1,0.0,0.013,0.0,,false,,
layer_c_0014,validation_fixed,low,cluster,JC-864c7a834d8bd8cf,资深软件开发工程师,cluster_needs_tech,technology,T5.01.01,ROS,0.0015,1,0.0,0.004,0.0,,false,,
layer_c_0015,validation_fixed,low,cluster,JC-8715e9263c0244eb,电气束线工程师,cluster_needs_tech,technology,T2.02.09,力觉感知,0.0202,1,0.0,0.067,0.0,,false,,
layer_c_0016,validation_fixed,low,cluster,JC-c793c2e9e50464a3,机器人控制&算法软件开发,cluster_needs_tech,technology,T1.05.02,强化学习,0.0021,1,0.0,0.007,0.0,,false,,
layer_c_0017,validation_fixed,low,organization,org_da2aa29b05e644cd76376ef1,云深处科技(DEEP Robotics),org_has_tech,technology,T1.06.03,多模态感知融合,0.0037,1,0.0,0.012,0.0,,false,,
layer_c_0018,validation_fixed,low,organization,org_853010eded6bd4bebb0f8281,矩阵超智,org_has_tech,technology,T2.01.03,视觉传感器,0.0252,1,0.0,0.083,0.0,,false,,
layer_c_0019,validation_fixed,low,cluster,JC-95f853e46e26eeef,关节模组工程师,cluster_needs_tech,technology,T3.04.04,夹爪,0.0202,1,0.0,0.067,0.0,,false,,
layer_c_0020,validation_fixed,low,cluster,JC-21db5b18e50bc3bc,灵巧手交付算法工程师,cluster_needs_tech,technology,T1.03.03,力控与柔顺控制,0.0048,1,0.0,0.015,0.0,,false,,
layer_c_0021,validation_fixed,low,organization,org_2a3463384a2b7a9036d75db4,禾赛科技,org_has_tech,technology,T3.08.02,域控制器,0.0013,1,0.0,0.004,0.0,,false,,
layer_c_0022,validation_fixed,low,cluster,JC-208f1d8bc5873639,ai仿生算法资深工程师(aigc),cluster_needs_tech,technology,T6.01.06,人机交互(通用),0.0063,1,0.0,0.02,0.0,,false,,
layer_c_0023,validation_fixed,low,cluster,JC-3a62579696900055,机器人系统工程师(应用开发&sdk),cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.0012,1,0.0,0.004,0.0,,false,,
layer_c_0024,validation_fixed,low,cluster,JC-e72b297fdb7412a5,遥操作全身控制专家,cluster_needs_tech,technology,T1.04.06,路径规划与轨迹,0.0063,1,0.0,0.02,0.0,,false,,
layer_c_0025,validation_fixed,low,cluster,JC-8b4ac2cc1729b5b8,机器人运动控制算法工程师,cluster_needs_tech,technology,T4.04.12,Sim-to-Real虚实迁移,0.0117,1,0.0,0.038,0.0,,false,,
layer_c_0026,validation_fixed,low,cluster,JC-2280d6edcda2f4fc,具身数据评估工程师,cluster_needs_tech,technology,T6.01.01,多模态交互,0.0152,1,0.0,0.05,0.0,,false,,
layer_c_0027,validation_fixed,low,cluster,JC-660aedc8c291f314,渠道管理,cluster_needs_tech,technology,T3.03.08,移动机器人(AMR/AGV),0.0043,1,0.0,0.014,0.0,,false,,
layer_c_0028,validation_fixed,low,organization,org_0625a32aa7608bc38fe15b95,北京银河通用机器人有限公司,org_has_tech,technology,T3.08.02,域控制器,0.0031,1,0.0,0.01,0.0,,false,,
layer_c_0029,validation_fixed,low,cluster,JC-fd9aae0f8d1f015d,嵌入式硬件开发工程师,cluster_needs_tech,technology,T3.02.01,四足机器人,0.0021,1,0.0,0.006,0.0,,false,,
layer_c_0030,validation_fixed,low,organization,org_92eb70a0da6def1b605b3e0d,南京天创电子,org_has_tech,technology,T3.03.09,工业机械臂,0.0034,1,0.0,0.011,0.0,,false,,
layer_c_0031,validation_fixed,low,organization,org_9ad0a3c06039a41416d81872,五八智能科技（杭州）有限公司,org_has_tech,technology,T3.06.02,精密减速器,0.0021,1,0.0,0.006,0.0,,false,,
layer_c_0032,validation_fixed,low,organization,org_5a43f60137a848360a5d2800,奥比中光,org_has_tech,technology,T3.02.01,四足机器人,0.0017,1,0.0,0.005,0.0,,false,,
layer_c_0033,validation_fixed,low,cluster,JC-e7b0a516507dc616,深度强化学习算法工程师,cluster_needs_tech,technology,T2.01.01,激光雷达,0.0018,1,0.0,0.005,0.0,,false,,
layer_c_0034,validation_fixed,low,cluster,JC-e648b0d6c24526c3,机器人-产品经理,cluster_needs_tech,technology,T6.03.04,检测认证,0.0016,1,0.0,0.005,0.0,,false,,
layer_c_0035,validation_fixed,low,cluster,JC-e99f22a85ab7cc5e,具身智能ai agent工程师,cluster_needs_tech,technology,T5.01.01,ROS,0.0015,1,0.0,0.004,0.0,,false,,
layer_c_0036,validation_fixed,low,cluster,JC-404096d600c8ea20,机械臂规划控制资深工程师,cluster_needs_tech,technology,T6.03.04,检测认证,0.0016,1,0.0,0.005,0.0,,false,,
layer_c_0037,validation_fixed,low,cluster,JC-bcf9e28d871053a0,资产交付维保部负责人,cluster_needs_tech,technology,T3.03.09,工业机械臂,0.0037,1,0.0,0.012,0.0,,false,,
layer_c_0038,validation_fixed,low,cluster,JC-6a9fbda00fb32606,结构件sqe工程师(外包),cluster_needs_tech,technology,T3.04.03,末端执行器,0.016,1,0.0,0.053,0.0,,false,,
layer_c_0039,validation_fixed,low,cluster,JC-f492396adacf294b,运控算法负责人,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.0012,1,0.0,0.004,0.0,,false,,
layer_c_0040,validation_fixed,low,organization,org_cbac1c9ce686c199cdbbd94d,思谋科技,org_has_tech,technology,T4.04.12,Sim-to-Real虚实迁移,0.0026,1,0.0,0.008,0.0,,false,,
layer_c_0041,validation_fixed,low,cluster,JC-de790560ae679397,机器人模型应用工程师,cluster_needs_tech,technology,T3.02.01,四足机器人,0.0021,1,0.0,0.006,0.0,,false,,
layer_c_0042,validation_fixed,low,cluster,JC-960fc1f8d201839c,具身智能研究员,cluster_needs_tech,technology,T1.05.02,强化学习,0.0021,1,0.0,0.007,0.0,,false,,
layer_c_0043,validation_fixed,low,cluster,JC-6020069c2897239c,机器人结构设计工程师,cluster_needs_tech,technology,T3.06.02,精密减速器,0.0035,1,0.0,0.011,0.0,,false,,
layer_c_0044,validation_fixed,low,organization,org_b2eb96b92c7ee557a1f428b7,智澄英达（杭州）科技有限公司,org_has_tech,technology,T1.01.11,VLA端到端大模型,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0045,validation_fixed,low,cluster,JC-b8218cf9c45b79fa,工艺总师,cluster_needs_tech,technology,T6.01.06,人机交互(通用),0.0064,1,0.0,0.021,0.0,,false,,
layer_c_0046,validation_fixed,low,cluster,JC-af5c7c479f009bc3,运动控制算法资深工程师,cluster_needs_tech,technology,T4.03.05,仿真平台与工具链,0.0037,1,0.0,0.012,0.0,,false,,
layer_c_0047,validation_fixed,low,cluster,JC-060c83caa496d62d,硬件测试工程师,cluster_needs_tech,technology,T1.06.04,视觉感知与理解,0.0132,1,0.0,0.043,0.0,,false,,
layer_c_0048,validation_fixed,low,cluster,JC-16b1daeee454c14d,硬件产品经理,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.0011,1,0.0,0.003,0.0,,false,,
layer_c_0049,validation_fixed,low,organization,org_37365438c321f10e200f4fb6,优必选机器人,org_has_tech,technology,T1.01.02,动作表示与分词,0.001,1,0.0,0.003,0.0,,false,,
layer_c_0050,validation_fixed,low,cluster,JC-427d0b81559b2ab6,售前工程师(机器人解决方案) (mj001051),cluster_needs_tech,technology,T7.01.08,智能制造与工业自动化,0.0026,1,0.0,0.008,0.0,,false,,
layer_c_0051,validation_fixed,medium,cluster,JC-3e2cd55d08605e78,ai编译器开发工程师,cluster_needs_tech,technology,T1.01.11,VLA端到端大模型,0.4811,4,0.841,0.011,0.1,,false,,
layer_c_0052,validation_fixed,medium,cluster,JC-b08cab5134fb6432,java后端开发工程师,cluster_needs_tech,technology,T3.05.04,电机与驱动,0.4358,3,0.76,0.009,0.1,,false,,
layer_c_0053,validation_fixed,medium,organization,org_13de0dcf32f65404f14ac523,吉翼具身智能,org_has_tech,technology,T2.01.02,深度相机,0.3201,2,0.575,0.013,0.0,,false,,
layer_c_0054,validation_fixed,medium,cluster,JC-2320a80ec6b3d181,具身算法专家/vla算法专家,cluster_needs_tech,technology,T3.01.08,人形机器人(通用),0.482,4,0.841,0.014,0.1,,false,,
layer_c_0055,validation_fixed,medium,organization,org_e8e02fd8005794ad72a83ba7,具微科技,org_has_tech,technology,T5.04.01,算力基础设施,0.3357,2,0.575,0.065,0.0,,false,,
