skill_term,skill_term_raw,l4_type,l1_code,l2_name,l3_name
"数据引擎","数据引擎","细分词",T1,"世界模型与预测推理",""
"具身智能数据平台","具身智能数据平台","细分词",T1,"世界模型与预测推理",""
"物理智能世界模型","物理智能世界模型","细分词",T1,"世界模型与预测推理",""
"具身推理","具身推理","细分词",T1,"任务规划与推理",""
"架构","π₀架构","细分词",T1,"具身基础模型与VLA",""
"大模型","大模型","细分词",T1,"具身基础模型与VLA",""
act,ACT,"细分词",T1,"具身基础模型与VLA",""
"多模态大模型","多模态大模型","细分词",T1,"具身基础模型与VLA",""
openvla,OpenVLA,"细分词",T1,"具身基础模型与VLA",""
"大语言模型","大语言模型","细分词",T1,"具身基础模型与VLA",""
"基础模型","基础模型","细分词",T1,"具身基础模型与VLA",""
vla,VLA,"细分词",T1,"具身基础模型与VLA",""
"具身智能大模型","具身智能大模型","细分词",T1,"具身基础模型与VLA",""
"具身基础模型","具身基础模型","细分词",T1,"具身基础模型与VLA",""
"视觉语言模型","视觉语言模型","细分词",T1,"具身基础模型与VLA",""
"大模型应用","大模型应用","细分词",T1,"具身基础模型与VLA",""
"ai大模型","AI大模型","细分词",T1,"具身基础模型与VLA",""
"具身大模型","具身大模型","细分词",T1,"具身基础模型与VLA",""
"大模型推理","大模型推理","细分词",T1,"具身基础模型与VLA",""
"具身智能基础模型","具身智能基础模型","细分词",T1,"具身基础模型与VLA",""
"大模型部署","大模型部署","细分词",T1,"具身基础模型与VLA",""
"机器人学习","机器人学习","细分词",T1,"学习与训练方法",""
"强化学习","强化学习","细分词",T1,"学习与训练方法",""
"模仿学习","模仿学习","细分词",T1,"学习与训练方法",""
"深度强化学习","深度强化学习","细分词",T1,"学习与训练方法",""
"扩散策略","扩散策略","细分词",T1,"学习与训练方法",""
"离线强化学习","离线强化学习","细分词",T1,"学习与训练方法",""
"路径规划","路径规划","细分词",T1,"导航与定位",""
slam,SLAM,"细分词",T1,"导航与定位",""
"自主导航","自主导航","细分词",T1,"导航与定位",""
"具身导航","具身导航","细分词",T1,"导航与定位",""
"slam导航","SLAM导航","细分词",T1,"导航与定位",""
