id,type,label,level,family,mention_count,title,career_dir,career_kind,chain,segment
tech:T1,technology,智能算法与模型,L1,,,,,,,
tech:T2,technology,感知与传感,L1,,,,,,,
tech:T3,technology,本体与核心零部件,L1,,,,,,,
tech:T4,technology,数据与仿真,L1,,,,,,,
tech:T5,technology,系统软件与工具链,L1,,,,,,,
tech:T6,technology,交互安全与评测标准,L1,,,,,,,
tech:T7,technology,应用与场景,L1,,,,,,,
tech:T1.01,technology,具身基础模型与VLA,L2,,,,,,,
tech:T1.02,technology,世界模型与预测推理,L2,,,,,,,
tech:T1.03,technology,运动规划与控制,L2,,,,,,,
tech:T1.04,technology,导航与定位,L2,,,,,,,
tech:T1.05,technology,学习与训练方法,L2,,,,,,,
tech:T1.06,technology,感知认知与理解,L2,,,,,,,
tech:T1.07,technology,任务规划与推理,L2,,,,,,,
tech:T1.08,technology,群体智能与协同,L2,,,,,,,
tech:T1.09,technology,灵巧操作与抓取,L2,,,,,,,
tech:T2.01,technology,视觉传感,L2,,,,,,,
tech:T2.02,technology,力觉与触觉传感,L2,,,,,,,
tech:T2.03,technology,听觉与语音,L2,,,,,,,
tech:T2.04,technology,位置与惯性,L2,,,,,,,
tech:T2.05,technology,传感器融合与标定,L2,,,,,,,
tech:T3.01,technology,整机-人形机器人,L2,,,,,,,
tech:T3.02,technology,整机-四足与仿生,L2,,,,,,,
tech:T3.03,technology,整机-臂与复合机器人,L2,,,,,,,
tech:T3.04,technology,灵巧手与末端执行器,L2,,,,,,,
tech:T3.05,technology,关节与驱动模组,L2,,,,,,,
tech:T3.06,technology,减速器与传动,L2,,,,,,,
tech:T3.07,technology,结构件与材料,L2,,,,,,,
tech:T3.08,technology,芯片与算力硬件,L2,,,,,,,
tech:T4.01,technology,数据集与数据采集,L2,,,,,,,
tech:T4.02,technology,数据合成与生成,L2,,,,,,,
tech:T4.03,technology,仿真平台与环境,L2,,,,,,,
tech:T4.04,technology,Sim-to-Real迁移,L2,,,,,,,
tech:T4.05,technology,数据标注与治理,L2,,,,,,,
tech:T5.01,technology,机器人操作系统,L2,,,,,,,
tech:T5.02,technology,中间件与通信,L2,,,,,,,
tech:T5.03,technology,开发与部署工具链,L2,,,,,,,
tech:T5.04,technology,云边端与算力基础设施,L2,,,,,,,
tech:T6.01,technology,人机交互与协作,L2,,,,,,,
tech:T6.02,technology,功能安全与可靠性,L2,,,,,,,
tech:T6.03,technology,检测认证与标准,L2,,,,,,,
tech:T6.04,technology,评测基准与竞赛,L2,,,,,,,
tech:T7.01,technology,工业制造场景,L2,,,,,,,
tech:T7.02,technology,物流仓储场景,L2,,,,,,,
tech:T7.03,technology,商业服务场景,L2,,,,,,,
tech:T7.04,technology,医疗康复场景,L2,,,,,,,
tech:T7.05,technology,农业与户外场景,L2,,,,,,,
tech:T7.06,technology,特种与应急场景,L2,,,,,,,
tech:T7.07,technology,家庭与消费场景,L2,,,,,,,
tech:T7.08,technology,低空与移动载体,L2,,,,,,,
tech:T1.01.01,technology,分层与双系统VLA架构,L3,,,,,,,
tech:T1.01.02,technology,动作表示与分词,L3,,,,,,,
tech:T1.01.03,technology,动作专家与混合专家,L3,,,,,,,
