occ_id,group_id,标准岗位,变体数,"真实标题变体(已出现别名,|分隔)"
P001,,具身智能业务总裁(CEO级),6,具身智能业务总裁(CEO级)|创始人/CEO(机器人业务总经理)|机器人业务CEO(XRobot)|机器人事业部总经理(CEO)|联合创始人(业务方向CEO)|联合创始人/CEO
P002,,CTO(AI工具链方向),10,CTO(AI工具链方向)|CTO(具身大模型方向)|CTO(具身智能大脑方向)|CTO(协作机械臂方向)|CTO(灵巧手与神经接口方向)|CTO(特种机器人方向)|CTO(自适应机器人方向)|CTO(触觉感知芯片方向)|CTO(运动控制与本体方向)|机器人事业部CTO
P003,,首席产品官(CPO),4,首席产品官(CPO)|首席产品官(具身智能产品)|首席产品官(机器人产品线)|首席产品官(机器人方向)
P004,,具身智能首席科学家,8,具身智能首席科学家|机器人首席科学家|首席科学家(世界模型方向)|首席科学家(人形机器人)|首席科学家(具身大模型方向)|首席科学家(具身智能)|首席科学家(强化学习方向)|首席科学家(操作大模型)
P005,,首席运营官(COO),1,首席运营官(COO)
P006,,具身智能首席战略专家(CSO级),4,具身智能首席战略专家(CSO级)|首席战略官(CSO)|首席战略官(具身智能方向)|首席战略官(机器人方向)
P007,,战略发展总监,4,战略发展总监|战略发展经理|战略总监(具身智能)|战略总监(机器人业务)
P008,,PMO总监,8,PMO总监|研发项目经理(PMO)|项目经理(人形机器人)|项目经理(人形机器人交付)|项目经理(具身智能)|项目经理(协作机器人)|项目经理(四足机器人)|项目经理/主管(交付PMO)
P009,,战略投资总监,9,战略投资总监|投资总监|投资总监(具身智能方向)|投资总监(机器人/具身智能方向)|投资总监(机器人产业链)|投资总监(硬科技)|投资总监(硬科技/机器人)|投资经理(战略投资)|投资经理(机器人与智能物联)
P010,,合作伙伴生态总监,9,合作伙伴生态总监|开源生态合作总监|生态合作总监|生态合作总监(3D视觉生态)|生态合作总监(具身智能)|生态合作总监(具身智能生态)|生态合作经理(协作机器人生态)|生态合作经理(机器人方向)|生态合作经理(机器人视觉)
P011,,本体研发总监,10,本体研发总监|研发总监|研发总监(人形机器人本体)|研发总监(具身大模型)|研发总监(四足机器人)|研发总监(操作大模型)|研发总监(灵巧手)|研发总监(自适应机器人)|研发总监(触觉传感器)|研发总监(运动控制方向)
P012,,工程总监,8,工程总监|工程总监(NPI新品导入)|工程总监(仓储机器人)|工程总监(具身智能)|工程总监(扫地机器人)|工程总监(智能制造)|工程总监(机器人产线)|工程总监(机器人制造)
P013,,产品总监,7,产品总监|产品总监(3D视觉)|产品总监(人形机器人)|产品总监(具身智能平台)|产品总监(割草/配送机器人)|产品总监(协作机器人)|产品总监(康复+人形)
