岗位,公司,城市,薪资,经验,学历,JD描述,来源平台,收录时间
算法工程师,灵犀智造,杭州,26-52K,3-5年,本科及以上,"我们正在寻找一位专注MindSpore、CUDA方向的工程师。你将负责：基于MindSpore、CUDA、vLLM构建核心能力，推动模型微调、模型压缩、知识图谱在实际业务中的应用。
要求：熟悉MindSpore、CUDA、vLLM、模型微调、模型压缩、知识图谱；了解自然语言处理、图像识别者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-01
嵌入式软件工程师,灵犀智造,上海,25-60K,1-3年,硕士及以上,"岗位描述：承担MEMS、物模型模块的研发工作，深入使用MEMS、物模型、OPC UA等技术栈，参与RTOS、传感器、边缘网关、ARM 开发、STM32能力建设。
任职要求：掌握MEMS、物模型、OPC UA、RTOS、传感器、边缘网关、ARM 开发、STM32；具备扎实的数据结构与算法基础；有工业互联网经验加分。",synthetic-sample,2026-08-02
测试开发工程师,联创物联,合肥,34-47K,5-10年,硕士及以上,"岗位描述：承担协作机器人、Java开发模块的研发工作，深入使用协作机器人、Java开发、全栈开发等技术栈，参与Python开发、ROS、测试开发能力建设。
任职要求：掌握协作机器人、Java开发、全栈开发、Python开发、ROS、测试开发；具备扎实的数据结构与算法基础；有车路协同、感知算法、信息安全经验加分。",synthetic-sample,2026-08-03
边缘计算工程师,天工智能,广州,19-47K,3-5年,硕士及以上,"岗位职责：
1. 负责STM32、单片机相关系统的设计、开发与持续优化；
2. 参与STM32、单片机方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握STM32、单片机、预测性维护、边缘计算、PLC、物联网平台、FreeRTOS、Modbus；
2. 具备良好的工程素养与团队协作能力；
3. 有NB-IoT、WiFi6相关经验者优先。",synthetic-sample,2026-08-04
数据分析师,数联未来,合肥,13-59K,经验不限,硕士,"岗位职责：
1. 负责流式计算、湖仓一体相关系统的设计、开发与持续优化；
2. 参与流式计算、湖仓一体方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握流式计算、湖仓一体、主数据管理、数据仓库、Flink、数据湖、数据建模、数据中台；
2. 具备良好的工程素养与团队协作能力；
3. 有OLAP、数据集市相关经验者优先。",synthetic-sample,2026-08-05
计算机视觉工程师,云脉智能,深圳,20-44K,1-3年,硕士,"岗位职责：
1. 负责PyTorch、推荐系统相关系统的设计、开发与持续优化；
2. 参与PyTorch、推荐系统方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握PyTorch、推荐系统、模型量化、知识图谱、LangChain、命名实体识别、TensorRT、计算机视觉；
2. 具备良好的工程素养与团队协作能力；
3. 有AI芯片相关经验者优先。",synthetic-sample,2026-08-06
IoT解决方案架构师,慧眼科技,杭州,40-54K,1-3年,硕士,"岗位职责：
1. 负责MQTT、蓝牙相关系统的设计、开发与持续优化；
2. 参与MQTT、蓝牙方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握MQTT、蓝牙、物联网平台、ZigBee、嵌入式Linux、5G通信；
2. 具备良好的工程素养与团队协作能力；
3. 有NB-IoT相关经验者优先。",synthetic-sample,2026-08-07
边缘计算工程师,星图数据,合肥,33-47K,5-10年,硕士及以上,"岗位描述：承担设备管理、边缘网关模块的研发工作，深入使用设备管理、边缘网关、工业互联网等技术栈，参与DCS、ZigBee、RFID能力建设。
任职要求：掌握设备管理、边缘网关、工业互联网、DCS、ZigBee、RFID；具备扎实的数据结构与算法基础；有MQTT、IoT平台、RTOS经验加分。",synthetic-sample,2026-08-08
推荐算法工程师,光启云网,成都,30-47K,经验不限,硕士及以上,"岗位描述：承担大语言模型、图像识别模块的研发工作，深入使用大语言模型、图像识别、ONNX等技术栈，参与RAG、vLLM、TTS、智能体能力建设。
任职要求：掌握大语言模型、图像识别、ONNX、RAG、vLLM、TTS、智能体；具备扎实的数据结构与算法基础；有TensorRT、NLP经验加分。",synthetic-sample,2026-08-09
机器人控制算法工程师,数联未来,北京,18-43K,经验不限,硕士及以上,"岗位描述：承担感知算法、运动控制模块的研发工作，深入使用感知算法、运动控制、分布式系统等技术栈，参与元宇宙、ROS、自动驾驶、机器人控制、MySQL能力建设。
任职要求：掌握感知算法、运动控制、分布式系统、元宇宙、ROS、自动驾驶、机器人控制、MySQL；具备扎实的数据结构与算法基础；有全栈开发经验加分。",synthetic-sample,2026-08-10
智能硬件开发工程师,联创物联,南京,20-43K,经验不限,本科,"我们正在寻找一位专注DCS、边缘网关方向的工程师。你将负责：基于DCS、边缘网关、单片机构建核心能力，推动物模型、Modbus、NB-IoT、智能座舱在实际业务中的应用。
要求：熟悉DCS、边缘网关、单片机、物模型、Modbus、NB-IoT、智能座舱；了解V2X、嵌入式Linux者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-11
大模型应用工程师,星图数据,上海,17-57K,5-10年,硕士及以上,"我们正在寻找一位专注迁移学习、RLHF方向的工程师。你将负责：基于迁移学习、RLHF、对话系统构建核心能力，推动Prompt工程、推理加速、图像识别、TTS、LangChain在实际业务中的应用。
要求：熟悉迁移学习、RLHF、对话系统、Prompt工程、推理加速、图像识别、TTS、LangChain；了解机器学习者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-12
后端开发工程师,慧眼科技,合肥,20-50K,5-10年,硕士,"我们正在寻找一位专注智能合约、iOS开发方向的工程师。你将负责：基于智能合约、iOS开发、车路协同构建核心能力，推动运动控制、飞控、工控系统、机器人控制在实际业务中的应用。
要求：熟悉智能合约、iOS开发、车路协同、运动控制、飞控、工控系统、机器人控制；了解测试开发、元宇宙、Python开发者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-13
推荐算法工程师,星图数据,成都,29-54K,3-5年,硕士及以上,"岗位职责：
1. 负责排序学习、LoRA相关系统的设计、开发与持续优化；
2. 参与排序学习、LoRA方向的新技术调研与方案落地；
3. 与产品、测试团队协作，保障项目高质量交付。
任职要求：
1. 熟练掌握排序学习、LoRA、Prompt工程、视频分析、TTS、JAX；
2. 具备良好的工程素养与团队协作能力；
3. 有召回算法相关经验者优先。",synthetic-sample,2026-08-14
后端开发工程师,灵犀智造,南京,34-53K,5-10年,硕士及以上,"我们正在寻找一位专注渗透测试、微服务方向的工程师。你将负责：基于渗透测试、微服务、无人机构建核心能力，推动iOS开发、工控系统、分布式系统、Docker在实际业务中的应用。
要求：熟悉渗透测试、微服务、无人机、iOS开发、工控系统、分布式系统、Docker；了解C++ 开发、前端开发、MongoDB者优先；有较强的问题定位与解决能力。",synthetic-sample,2026-08-15
自动驾驶感知工程师,慧眼科技,北京,36-56K,经验不限,本科,"岗位描述：承担DevOps、测试开发模块的研发工作，深入使用DevOps、测试开发、毫米波雷达等技术栈，参与飞控、Docker、C++ 开发、SpringCloud、自动驾驶能力建设。
任职要求：掌握DevOps、测试开发、毫米波雷达、飞控、Docker、C++ 开发、SpringCloud、自动驾驶；具备扎实的数据结构与算法基础；有车路协同、激光雷达经验加分。",synthetic-sample,2026-08-16
数据治理专家,天工智能,深圳,21-59K,经验不限,硕士,"岗位描述：承担HBase、维度建模模块的研发工作，深入使用HBase、维度建模、数据管道等技术栈，参与数据中台、ETL、隐私计算能力建设。
任职要求：掌握HBase、维度建模、数据管道、数据中台、ETL、隐私计算；具备扎实的数据结构与算法基础；有实时计算、流式计算经验加分。",synthetic-sample,2026-08-17
云原生开发工程师,光启云网,南京,34-44K,经验不限,硕士,"岗位描述：承担PLC编程、决策规划模块的研发工作，深入使用PLC编程、决策规划、SpringCloud等技术栈，参与网络安全、ADAS、小程序开发、Kubernetes能力建设。
任职要求：掌握PLC编程、决策规划、SpringCloud、网络安全、ADAS、小程序开发、Kubernetes；具备扎实的数据结构与算法基础；有消息队列经验加分。",synthetic-sample,2026-08-18
